Year Phase,Typical Months,Role,Role Key,Workspace,Section,Feature,Feature Key,Data Scope,Tier,Built,Screen,When Used,Depends On,Feeds Into,Acts Before (role),Hands Off To (role),Approved By,Notifies,Handoff Chain,Also Held By,What The User Does
00 Vendor,Continuous,Super Admin,super_admin,Platform Configuration,Platform Configuration,Module configuration,super_admin.platform_configuration.module_configuration,platform,core,yes,ModuleConfiguration,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,Enable/disable modules by institution so users only see what their institution uses.
00 Vendor,Continuous,Super Admin,super_admin,Platform Configuration,Platform Configuration,Numbering & templates,super_admin.platform_configuration.numbering_templates,platform,core,yes,Numbering,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Configure receipt, admission, student ID and certificate numbering/templates."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Aadhaar & APAAR Capture at Admission,admissions.admissions.aadhaar_apaar_capture_at_admission,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Capture Aadhaar consent, APAAR ID and prior-school UDISE code during the admission form."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Admission Fee Collection,admissions.admissions.admission_fee_collection,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Collect prospectus and application form fees via cash, POS, or integrated payment gateway."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Admission Waitlist Management,admissions.admissions.admission_waitlist_management,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Maintain real-time waitlists per class, auto-promoting candidates as seats open up."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Alumni Child Quota Allocation,admissions.admissions.alumni_child_quota_allocation,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Identify children of alumni applicants and apply institutional alumni quota benefits.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Child Info ID Capture,admissions.admissions.child_info_id_capture,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Record the Telangana Child Info ID at admission and verify it against the state register.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Enrollment handoff,admissions.admissions.enrollment_handoff,institution,core,yes,Pipeline,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Convert admitted applicant to student/enrollment without duplicate data entry.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Medium of Instruction Selection,admissions.admissions.medium_of_instruction_selection,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Capture the medium the applicant is admitted into and the language combination chosen.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Merit List Generation,admissions.admissions.merit_list_generation,institution,advanced,yes,Pipeline,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Calculate weighted scores based on prior marks, entrance exam, and interview to publish merit lists."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Offers / admission decisions,admissions.admissions.offers_admission_decisions,institution,core,yes,Pipeline,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Issue offers/admission decisions based on configured workflow.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Provisional Offer Letters,admissions.admissions.provisional_offer_letters,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Generate and email/SMS provisional admission offer letters with payment deadline links.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,RTE (Right to Education) Quota Tracking,admissions.admissions.rte_right_to_education_quota_tracking,institution,advanced,yes,Pipeline,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Manage government RTE quota applications, lottery selection results, and document verification."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,RTE Online Lottery Import,admissions.admissions.rte_online_lottery_import,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Import the state RTE 25% lottery allotment list and convert allotted candidates into applications.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Seat Allocation Management,admissions.admissions.seat_allocation_management,institution,advanced,yes,Pipeline,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Manage class/section seat quotas (General, RTE, Management, Sports, Sibling) and availability."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Admissions,Sibling Priority Auto-Matching,admissions.admissions.sibling_priority_auto_matching,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Auto-detect existing enrolled siblings during inquiry to apply sibling priority quota.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Applicant Medical Fitness Declaration,admissions.applications.applicant_medical_fitness_declaration,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Collect applicant medical history, vaccination certificates, and physical fitness approvals."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Applicant documents,admissions.applications.applicant_documents,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Collect and verify required admission documents.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Applications,admissions.applications.applications,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Create/review applications and track status.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Entrance Exam Scheduling,admissions.applications.entrance_exam_scheduling,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Schedule entrance exam dates, assign exam halls, generate admit cards, and log candidate marks."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Foreign / NRI Student Visa Documentation,admissions.applications.foreign_nri_student_visa_documentation,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Track passport details, student visa status, and embassy NOCs for international applicants."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Interview & Interaction Scheduler,admissions.applications.interview_interaction_scheduler,institution,core,yes,Applications,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Book interview slots for parents/students with principal/management and record scores.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Applications,Online Application Form Builder,admissions.applications.online_application_form_builder,institution,core,yes,FormBuilder,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Configure custom digital admission application forms with file upload rules and field validation.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,24/7 Admission Chatbot,admissions.enquiries.24_7_admission_chatbot,institution,optional,no,,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Configure web widget chatbot to answer tuition queries, syllabus details, and capture leads."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,AI Voice Agent Integration,admissions.enquiries.ai_voice_agent_integration,institution,optional,no,,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Automate outbound AI voice agent calls to confirm entrance exam attendance or follow up.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Admissions Open Day Scheduler,admissions.enquiries.admissions_open_day_scheduler,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Organize school open house events, manage online slot booking, and check in attending parents."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Counselor Activity & Follow-ups,admissions.enquiries.counselor_activity_follow_ups,institution,core,yes,Enquiries,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Log call notes, schedule follow-up reminders, and log candidate visit outcomes."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Counselor Lead Assignment,admissions.enquiries.counselor_lead_assignment,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Automatically or manually route incoming admission inquiries to specific admission counselors.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Enquiries / leads,admissions.enquiries.enquiries_leads,institution,core,yes,Enquiries,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,Capture prospective student enquiries and source/campaign.
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Lead Source Tracking,admissions.enquiries.lead_source_tracking,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Tag leads with marketing channels (Google Ads, Facebook, Newspaper, Referral, Walk-in)."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Multi-Touch Campaign Sequences,admissions.enquiries.multi_touch_campaign_sequences,institution,advanced,yes,CampaignSequences,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Trigger automated follow-up SMS, WhatsApp messages, and email drip sequences to leads."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,Prospectus & Kit Sales Log,admissions.enquiries.prospectus_kit_sales_log,institution,core,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Track inventory, unit sales, and receipt generation for physical school prospectuses."
01 Admissions,Nov-Aug,Admissions & Front Office,admissions,Admissions,Enquiries,UTM Tracking & Digital Campaign attribution,admissions.enquiries.utm_tracking_digital_campaign_attribution,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Attribute web inquiries to specific Facebook, Google Ads, or email UTM campaign tags."
01 Admissions,Nov-Aug,Institution Admin / Principal,institution_admin,Students,Admissions,Admissions overview,institution_admin.admissions.admissions_overview,institution,core,yes,Pipeline,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Monitor enquiries/applications, admitted students and enrollment conversion."
01 Admissions,Nov-Aug,Institution Admin / Principal,institution_admin,Students,Admissions,RTE 25% Reservation Register,institution_admin.admissions.rte_25_reservation_register,institution,advanced,yes,Funnel,Heaviest Nov-Mar for the coming year; again in Aug for mid-year transfers,Year setup: classes and sections have to exist to admit into,"Enrolment, which is what fee invoicing and the attendance register key off",Admissions & Front Office,Accounts (invoices) and Faculty (teaches),Institution Admin,None,Enquiry -> application -> admitted -> enrolled -> invoiced -> on a register,,"Maintain the audit-ready RTE quota register with lottery results, verification and reimbursement claims."
02 Year setup,Feb-Apr,Faculty / Teacher,faculty,My Classes,My Classes,My classes,faculty.my_classes.my_classes,assigned_classes,core,yes,TodaysClasses,"Classes, sections, subjects and the calendar, built before the year opens","Last year's structure, or nothing at all on a new tenant","Everything. Admissions, timetable, fees and exams all key off classes and subjects",Institution Admin,Every other role,Institution Admin,None,Principal builds the year -> everybody else works inside it,,"Class roster, subject resources and relevant student academic information."
02 Year setup,Feb-Apr,Faculty / Teacher,faculty,My Classes,My Classes,My students,faculty.my_classes.my_students,assigned_classes,core,yes,Students,"Classes, sections, subjects and the calendar, built before the year opens","Last year's structure, or nothing at all on a new tenant","Everything. Admissions, timetable, fees and exams all key off classes and subjects",Institution Admin,Every other role,Institution Admin,None,Principal builds the year -> everybody else works inside it,,"Every child in the class with attendance, marks and guardian contact in one place."
02 Year setup,Feb-Apr,Faculty / Teacher,faculty,My Classes,My Classes,Student Behavior & Demerits,faculty.my_classes.student_behavior_demerits,assigned_classes,core,yes,MyClasses,"Classes, sections, subjects and the calendar, built before the year opens","Last year's structure, or nothing at all on a new tenant","Everything. Admissions, timetable, fees and exams all key off classes and subjects",Faculty,Parent,,Parent (student_remark),Faculty records conduct -> guardians alerted -> Parent reads,,"Award positive behavior badges (Kindness, Curiosity) or log disciplinary demerit points."
02 Year setup,Feb-Apr,Faculty / Teacher,faculty,My Classes,My Classes,Student details,faculty.my_classes.student_details,assigned_classes,core,yes,StudentProfile,"Classes, sections, subjects and the calendar, built before the year opens","Last year's structure, or nothing at all on a new tenant","Everything. Admissions, timetable, fees and exams all key off classes and subjects",Institution Admin,Every other role,Institution Admin,None,Principal builds the year -> everybody else works inside it,,"One child's full record: profile, guardians, attendance, marks and remarks."
02 Year setup,Feb-Apr,Faculty / Teacher,faculty,My Classes,My Classes,Student progress,faculty.my_classes.student_progress,assigned_classes,core,yes,MyClasses,"Classes, sections, subjects and the calendar, built before the year opens","Last year's structure, or nothing at all on a new tenant","Everything. Admissions, timetable, fees and exams all key off classes and subjects",Institution Admin,Every other role,Institution Admin,None,Principal builds the year -> everybody else works inside it,,View attendance and academic progress for students taught/mentored by the faculty member.
