Role,Section,Feature,Data Scope,Feature Key,Built,Screen,Endpoints,Tested As,Result,Checks,Also readable by,Evidence,Verified against
Super Admin,Institution Setup,Branding,All institutions / all campuses,super_admin.institution_setup.branding,yes,super_admin/Branding,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Institution Setup,School settings,Assigned institution/campus,super_admin.institution_setup.school_settings,yes,setup/Wizard,GET /api/v1/academics/classes GET /api/v1/academics/sections GET /api/v1/academics/subjects GET /api/v1/academics/years GET /api/v1/admin/institutions GET /api/v1/session POST /api/v1/setup/academic-years POST /api/v1/setup/assign-teacher GET/POST /api/v1/setup/campuses PUT /api/v1/setup/campuses/:param GET/PUT /api/v1/setup/class-subjects POST /api/v1/setup/class-teacher POST /api/v1/setup/classes POST /api/v1/setup/employees POST /api/v1/setup/exams GET/POST /api/v1/setup/fee-heads POST /api/v1/setup/fee-structures POST /api/v1/setup/grading-scales GET/PUT /api/v1/setup/institution GET /api/v1/setup/institution/options PUT /api/v1/setup/periods POST /api/v1/setup/sections GET /api/v1/setup/status POST /api/v1/setup/subjects GET /api/v1/students/import GET /api/v1/students/import/template GET /api/v1/timetable/periods GET /api/v1/timetable/teachers,super_admin@vivencia.test,FAIL,16,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/academics/classes 200, 18 rows; /api/v1/academics/sections 200, 36 rows; /api/v1/academics/subjects 200, 18 rows; /api/v1/academics/years 200, 3 rows; /api/v1/admin/institutions 200, 6 rows; /api/v1/session 200; /api/v1/setup/campuses 200, 6 rows; /api/v1/setup/class-subjects 200, 120 rows; /api/v1/setup/fee-heads 200, 12 rows; /api/v1/setup/institution 200; /api/v1/setup/institution/options 200; /api/v1/setup/status 200; /api/v1/students/import HTTP 400 as super_admin; /api/v1/students/import/template 200; /api/v1/timetable/periods 200, 21 rows; /api/v1/timetable/teachers 200, 17 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Access & Security,Users,All users,super_admin.access_security.users,yes,super_admin/Users,GET /api/v1/admin/assignable-roles GET /api/v1/admin/role-presets GET/POST /api/v1/admin/users POST /api/v1/admin/users/:param/reset-password PUT /api/v1/admin/users/:param/roles PUT /api/v1/admin/users/:param/status,super_admin@vivencia.test,pass,3,hr institution_admin,"/api/v1/admin/assignable-roles 200, 104 rows; /api/v1/admin/role-presets 200, 9 rows; /api/v1/admin/users 200, 145 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Access & Security,Roles & permissions,All users,super_admin.access_security.roles_permissions,yes,super_admin/RolesPermissions,GET /api/v1/admin/installable-roles GET/POST /api/v1/admin/roles GET/PUT /api/v1/admin/roles/:param/grid POST /api/v1/admin/roles/install,super_admin@vivencia.test,pass,3,institution_admin,"/api/v1/admin/installable-roles 200, 13 rows; /api/v1/admin/roles 200, 116 rows; /api/v1/admin/roles/:param/grid no demo record to address",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Access & Security,Login & session audit,All users,super_admin.access_security.login_session_audit,yes,super_admin/SessionAudit,GET /api/v1/admin/sessions DELETE /api/v1/admin/sessions/:param,super_admin@vivencia.test,pass,1,institution_admin,"/api/v1/admin/sessions 200, 200 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Access & Security,SSO / MFA,All users,super_admin.access_security.sso_mfa,yes,super_admin/SsoMfa,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Access & Security,User directory,Assigned institution/campus,super_admin.access_security.user_directory,yes,super_admin/Users,GET /api/v1/admin/assignable-roles GET /api/v1/admin/role-presets GET/POST /api/v1/admin/users POST /api/v1/admin/users/:param/reset-password PUT /api/v1/admin/users/:param/roles PUT /api/v1/admin/users/:param/status,super_admin@vivencia.test,pass,3,hr institution_admin,"/api/v1/admin/assignable-roles 200, 104 rows; /api/v1/admin/role-presets 200, 9 rows; /api/v1/admin/users 200, 145 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Platform Configuration,Module configuration,All institutions / all campuses,super_admin.platform_configuration.module_configuration,yes,super_admin/ModuleConfiguration,GET/PUT /api/v1/admin/modules,super_admin@vivencia.test,pass,1,institution_admin seller_admin,"/api/v1/admin/modules 200, 11 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Platform Configuration,Integrations,All institutions / all campuses,super_admin.platform_configuration.integrations,yes,super_admin/Integrations,GET /api/v1/admin/integrations/index,super_admin@vivencia.test,pass,1,institution_admin seller_admin,"/api/v1/admin/integrations/index 200, 6 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Platform Configuration,Numbering & templates,All institutions / all campuses,super_admin.platform_configuration.numbering_templates,yes,super_admin/Numbering,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Platform Configuration,Audit log,All institutions / all campuses,super_admin.platform_configuration.audit_log,yes,super_admin/AuditLog,GET /api/v1/admin/audit GET /api/v1/admin/audit/summary,super_admin@vivencia.test,pass,3,institution_admin,"/api/v1/admin/audit 200, 100 rows; /api/v1/admin/audit/summary 200, 58 rows | [ok] the audit trail caught this simulation: 20 recorded, 5 from this simulation",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Platform Configuration,Data operations,All institutions / all campuses,super_admin.platform_configuration.data_operations,yes,setup/ImportStudents,POST /api/v1/students/import GET /api/v1/students/import/template,super_admin@vivencia.test,pass,1,admissions faculty finance hod institution_admin operations,/api/v1/students/import/template 200,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Platform Configuration,Import & export,Assigned institution/campus,super_admin.platform_configuration.import_export,yes,shared/Exports,GET /api/v1/export,super_admin@vivencia.test,pass,1,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/export 200, 6 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Campuses & Academic Year,Franchise Management,All institutions / all campuses,super_admin.campuses_academic_year.franchise_management,yes,seller/Franchises,GET /api/v1/admin/platform/franchises,super_admin@vivencia.test,pass,1,seller_admin,"/api/v1/admin/platform/franchises 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Campuses & Academic Year,White-Label Branding,All institutions / all campuses,super_admin.campuses_academic_year.white_label_branding,yes,super_admin/WhiteLabel,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Campuses & Academic Year,Academic Calendar Model,All institutions / all campuses,super_admin.campuses_academic_year.academic_calendar_model,yes,super_admin/CalendarModel,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Messaging,SMS Gateway Integration,All institutions / all campuses,super_admin.messaging.sms_gateway_integration,yes,communication/SmsGateway,PUT /api/v1/sms-gateway/devices/:param POST /api/v1/sms-gateway/devices/:param/revoke POST /api/v1/sms-gateway/pair,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Messaging,WhatsApp API Integration,All institutions / all campuses,super_admin.messaging.whatsapp_api_integration,yes,super_admin/WhatsAppApi,GET/POST /api/v1/admin/messaging/recipients DELETE /api/v1/admin/messaging/recipients/:param PUT /api/v1/admin/messaging/recipients/mode GET /api/v1/admin/whatsapp/log DELETE/GET/PUT /api/v1/admin/whatsapp/settings GET/PUT /api/v1/admin/whatsapp/templates POST /api/v1/admin/whatsapp/test,super_admin@vivencia.test,pass,4,institution_admin seller_admin,"/api/v1/admin/messaging/recipients 200, no rows; /api/v1/admin/whatsapp/log 200, no rows; /api/v1/admin/whatsapp/settings 200; /api/v1/admin/whatsapp/templates 200, 6 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Messaging,Email Server (SMTP) Integration,All institutions / all campuses,super_admin.messaging.email_server_smtp_integration,yes,super_admin/EmailServer,POST /api/v1/admin/messaging/dispatch GET /api/v1/admin/messaging/log:param GET /api/v1/admin/messaging/providers DELETE/PUT /api/v1/admin/messaging/providers/:param POST /api/v1/admin/messaging/providers/:param/test GET/PUT /api/v1/admin/messaging/templates GET/POST /api/v1/admin/messaging/triggers DELETE /api/v1/admin/messaging/triggers/:param POST /api/v1/admin/messaging/triggers/run,super_admin@vivencia.test,pass,4,institution_admin seller_admin,"/api/v1/admin/messaging/log:param no demo record to address; /api/v1/admin/messaging/providers 200, 4 rows; /api/v1/admin/messaging/templates 200, 24 rows; /api/v1/admin/messaging/triggers 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Messaging,Automated Trigger Rules,All institutions / all campuses,super_admin.messaging.automated_trigger_rules,yes,super_admin/TriggerRules,POST /api/v1/admin/messaging/dispatch GET /api/v1/admin/messaging/log:param GET /api/v1/admin/messaging/providers DELETE/PUT /api/v1/admin/messaging/providers/:param POST /api/v1/admin/messaging/providers/:param/test GET/PUT /api/v1/admin/messaging/templates GET/POST /api/v1/admin/messaging/triggers DELETE /api/v1/admin/messaging/triggers/:param POST /api/v1/admin/messaging/triggers/run,super_admin@vivencia.test,pass,4,institution_admin seller_admin,"/api/v1/admin/messaging/log:param no demo record to address; /api/v1/admin/messaging/providers 200, 4 rows; /api/v1/admin/messaging/templates 200, 24 rows; /api/v1/admin/messaging/triggers 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Payments & Devices,Payment Gateway Connectors,All institutions / all campuses,super_admin.payments_devices.payment_gateway_connectors,no,,,,not built,0,,"catalogued only. 4 of 6 features in “Payments & Devices” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Payments & Devices,Biometric Device Integration,All institutions / all campuses,super_admin.payments_devices.biometric_device_integration,no,,,,not built,0,,"catalogued only. 4 of 6 features in “Payments & Devices” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Payments & Devices,GPS Hardware Integration,All institutions / all campuses,super_admin.payments_devices.gps_hardware_integration,yes,super_admin/TrackerPairing,GET /api/v1/transport/trackers PUT /api/v1/transport/trackers/:param POST /api/v1/transport/trackers/:param/revoke POST /api/v1/transport/trackers/pair GET/PUT /api/v1/transport/tracking-policy,super_admin@vivencia.test,pass,2,institution_admin operations,"/api/v1/transport/trackers 200, 6 rows; /api/v1/transport/tracking-policy 200",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Payments & Devices,Virtual Classroom Integration,All institutions / all campuses,super_admin.payments_devices.virtual_classroom_integration,yes,super_admin/VirtualClassroom,GET /api/v1/admin/connectors/crm/conflicts GET /api/v1/admin/connectors/crm/credentials GET /api/v1/admin/connectors/crm/queue GET /api/v1/admin/connectors/crm/runs PUT /api/v1/admin/connectors/meetings/providers DELETE /api/v1/admin/connectors/meetings/providers/:param GET /api/v1/admin/connectors/meetings/requests,super_admin@vivencia.test,FAIL,5,seller_admin,"/api/v1/admin/connectors/crm/conflicts 200, no rows; /api/v1/admin/connectors/crm/credentials 200, no rows; /api/v1/admin/connectors/crm/queue HTTP 400 as super_admin; /api/v1/admin/connectors/crm/runs 200, no rows; /api/v1/admin/connectors/meetings/requests 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Payments & Devices,Tally ERP / Prime Connector,All institutions / all campuses,super_admin.payments_devices.tally_erp_prime_connector,yes,finance/TallyConnector,GET /api/v1/admin/tally/connector/accounts GET/PUT /api/v1/admin/tally/connector/gateway PUT /api/v1/admin/tally/connector/mappings PUT /api/v1/admin/tally/connector/voucher-types POST /api/v1/admin/tally/connector/voucher-types/defaults GET /api/v1/finance/ledgers/accounts GET /api/v1/finance/ledgers/settings GET /api/v1/finance/tally/settings,super_admin@vivencia.test,pass,5,finance institution_admin seller_admin,"/api/v1/admin/tally/connector/accounts 200, 84 rows; /api/v1/admin/tally/connector/gateway 200; /api/v1/finance/ledgers/accounts 200, 520 rows; /api/v1/finance/ledgers/settings 200; /api/v1/finance/tally/settings 200",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Payments & Devices,Meritto / LeadSquared Sync,All institutions / all campuses,super_admin.payments_devices.meritto_leadsquared_sync,yes,super_admin/CrmSync,GET /api/v1/admin/connectors/crm/conflicts POST /api/v1/admin/connectors/crm/conflicts/:param/resolve GET/PUT /api/v1/admin/connectors/crm/credentials POST /api/v1/admin/connectors/crm/export POST /api/v1/admin/connectors/crm/import PUT /api/v1/admin/connectors/crm/mappings GET /api/v1/admin/connectors/crm/queue GET /api/v1/admin/connectors/crm/runs GET /api/v1/admin/connectors/meetings/requests,super_admin@vivencia.test,FAIL,5,seller_admin,"/api/v1/admin/connectors/crm/conflicts 200, no rows; /api/v1/admin/connectors/crm/credentials 200, no rows; /api/v1/admin/connectors/crm/queue HTTP 400 as super_admin; /api/v1/admin/connectors/crm/runs 200, no rows; /api/v1/admin/connectors/meetings/requests 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,SQAA Framework Management,All institutions / all campuses,super_admin.statutory_boards.sqaa_framework_management,yes,super_admin/SQAAFramework,GET /api/v1/admin/platform/sqaa,super_admin@vivencia.test,pass,1,admissions faculty finance hod hr institution_admin operations parent seller_admin student,/api/v1/admin/platform/sqaa 200,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,UDISE+ Data Sync,All institutions / all campuses,super_admin.statutory_boards.udise_data_sync,yes,compliance/UDISE,POST /api/v1/compliance/apaar GET /api/v1/compliance/udise,super_admin@vivencia.test,pass,1,finance hod hr institution_admin seller_admin,"/api/v1/compliance/udise 200, 306 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,APAAR ID Provisioning,All institutions / all campuses,super_admin.statutory_boards.apaar_id_provisioning,yes,compliance/UDISE,POST /api/v1/compliance/apaar GET /api/v1/compliance/udise,super_admin@vivencia.test,pass,1,finance hod hr institution_admin seller_admin,"/api/v1/compliance/udise 200, 306 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,DigiLocker Issuer Integration,All institutions / all campuses,super_admin.statutory_boards.digilocker_issuer_integration,no,,,,not built,0,,"catalogued only. 8 of 9 features in “Statutory & Boards” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,Board Affiliation & Disclosure,All institutions / all campuses,super_admin.statutory_boards.board_affiliation_disclosure,yes,super_admin/BoardAffiliation,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,State Board Configuration,All institutions / all campuses,super_admin.statutory_boards.state_board_configuration,yes,super_admin/StateBoardConfig,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,School Management Type,All institutions / all campuses,super_admin.statutory_boards.school_management_type,yes,super_admin/ManagementType,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,District & Mandal Master,All institutions / all campuses,super_admin.statutory_boards.district_mandal_master,yes,super_admin/DistrictMandalMaster,GET /api/v1/admin/platform/locations,super_admin@vivencia.test,pass,1,admissions faculty finance hod hr institution_admin operations parent seller_admin student,"/api/v1/admin/platform/locations 200, 1 rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Statutory & Boards,Child Info Portal Sync,All institutions / all campuses,super_admin.statutory_boards.child_info_portal_sync,yes,compliance/ChildInfoPortal,GET /api/v1/admin/institutions GET/POST /api/v1/statutory/portal/connectors DELETE /api/v1/statutory/portal/connectors/:param POST /api/v1/statutory/portal/connectors/:param/runs GET /api/v1/statutory/portal/export GET /api/v1/statutory/portal/runs,super_admin@vivencia.test,FAIL,4,seller_admin,"/api/v1/admin/institutions 200, 6 rows; /api/v1/statutory/portal/connectors 200, no rows; /api/v1/statutory/portal/export HTTP 400 as super_admin; /api/v1/statutory/portal/runs 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Operations,Data Backup & Restore,All institutions / all campuses,super_admin.operations.data_backup_restore,yes,super_admin/BackupRestore,,super_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,Operations,System Health & Integration Alerts,All institutions / all campuses,super_admin.operations.system_health_integration_alerts,yes,shared/Jobs,GET /api/v1/academics/sections POST /api/v1/jobs GET /api/v1/jobs/:param GET /api/v1/jobs/queues,super_admin@vivencia.test,pass,3,admissions faculty finance hod hr institution_admin operations,"/api/v1/academics/sections 200, 36 rows; /api/v1/jobs/:param no demo record to address; /api/v1/jobs/queues 200",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,AI & Automation,Predictive Dropout Risk Engine,All institutions / all campuses,super_admin.ai_automation.predictive_dropout_risk_engine,no,,,,not built,0,,"catalogued only. 1 of 5 features in “AI & Automation” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,AI & Automation,Automated Timetable Optimizer,All institutions / all campuses,super_admin.ai_automation.automated_timetable_optimizer,yes,academics/TimetableOptimizer,GET/POST /api/v1/timetable-optimizer/drafts GET /api/v1/timetable-optimizer/drafts/:param POST /api/v1/timetable-optimizer/drafts/:param/discard POST /api/v1/timetable-optimizer/drafts/:param/publish GET /api/v1/timetable-optimizer/inputs PUT /api/v1/timetable-optimizer/load-rules PUT /api/v1/timetable-optimizer/requirements,super_admin@vivencia.test,pass,3,faculty hod institution_admin student,"/api/v1/timetable-optimizer/drafts 200, no rows; /api/v1/timetable-optimizer/drafts/:param no demo record to address; /api/v1/timetable-optimizer/inputs 200",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,AI & Automation,AI Sentiment Analysis on Feedback,All institutions / all campuses,super_admin.ai_automation.ai_sentiment_analysis_on_feedback,no,,,,not built,0,,"catalogued only. 1 of 5 features in “AI & Automation” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,AI & Automation,Automated Exam Question Translation,All institutions / all campuses,super_admin.ai_automation.automated_exam_question_translation,no,,,,not built,0,,"catalogued only. 1 of 5 features in “AI & Automation” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Super Admin,AI & Automation,Smart Fee Cash Flow Predictor,All institutions / all campuses,super_admin.ai_automation.smart_fee_cash_flow_predictor,no,,,,not built,0,,"catalogued only. 1 of 5 features in “AI & Automation” are working, so the section exists and this is a gap within it.",http://127.0.0.1:8090 at 2026-08-20 23:08
Institution Admin / Principal,Home,Executive KPIs,Assigned institution/campus,institution_admin.home.executive_kpis,yes,principal/Dashboard,GET /api/v1/date-ranges GET /api/v1/principal/attendance-trend GET /api/v1/principal/dashboard GET /api/v1/setup/status,institution_admin@vivencia.test,pass,4,admissions faculty finance hod hr operations parent seller_admin student super_admin,"/api/v1/date-ranges 200, 13 rows; /api/v1/principal/attendance-trend 200, 24 rows; /api/v1/principal/dashboard 200; /api/v1/setup/status 200",http://127.0.0.1:8090 at 2026-08-20 23:08
Institution Admin / Principal,Home,Needs attention,Assigned institution/campus,institution_admin.home.needs_attention,yes,principal/Dashboard,GET /api/v1/date-ranges GET /api/v1/principal/attendance-trend GET /api/v1/principal/dashboard GET /api/v1/setup/status,institution_admin@vivencia.test,pass,4,admissions faculty finance hod hr operations parent seller_admin student super_admin,"/api/v1/date-ranges 200, 13 rows; /api/v1/principal/attendance-trend 200, 24 rows; /api/v1/principal/dashboard 200; /api/v1/setup/status 200",http://127.0.0.1:8090 at 2026-08-20 23:08
Institution Admin / Principal,Home,Today,Assigned institution/campus,institution_admin.home.today,yes,analytics/Today,,institution_admin@vivencia.test,partial,0,,screen renders; no API call,http://127.0.0.1:8090 at 2026-08-20 23:08
Institution Admin / Principal,Home,Department KPIs,Assigned department only,institution_admin.home.department_kpis,yes,hod/Department,GET /api/v1/department/dashboard GET /api/v1/department/faculty,institution_admin@vivencia.test,pass,2,hod hr super_admin,"/api/v1/department/dashboard 200; /api/v1/department/faculty 200, no rows",http://127.0.0.1:8090 at 2026-08-20 23:08
Institution Admin / Principal,Home,Academic KPIs,Assigned institution/campus,institution_admin.home.academic_kpis,yes,principal/Dashboard,GET /api/v1/date-ranges GET /api/v1/principal/attendance-trend GET /api/v1/principal/dashboard GET /api/v1/setup/status,institution_admin@vivencia.test,pass,4,admissions faculty finance hod hr operations parent seller_admin student super_admin,"/api/v1/date-ranges 200, 13 rows; /api/v1/principal/attendance-trend 200, 24 rows; /api/v1/principal/dashboard 200; /api/v1/setup/status 200",http://127.0.0.1:8090 at 2026-08-20 23:08
