Role,Workspace,Section,Feature,What User Sees & Does,Data Scope,Priority,Tier
Super Admin,Platform Setup,Payments & Devices,Meritto / LeadSquared Sync,"Map lead sources, counselor assignments, and multi-touch lead status sync with external CRMs.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,SQAA Framework Management,Configure School Quality Assessment and Assurance standards and self-assessment checklists.,All institutions / all campuses,Should-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,UDISE+ Data Sync,"Map school, student, teacher and facility fields to the UDISE+ return format and validate data integrity before submission.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,APAAR ID Provisioning,Generate and reconcile APAAR (One Nation One Student) IDs against Aadhaar and the UDISE+ register.,All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,DigiLocker Issuer Integration,"Register as a DigiLocker issuer and push transfer certificates, report cards and mark sheets as verifiable documents.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,Board Affiliation & Disclosure,"Maintain CBSE/ICSE/State affiliation numbers, mandatory public disclosure documents and renewal dates.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,State Board Configuration,"Select the state education board (BSE Telangana SSC, TSBIE Intermediate, CBSE, ICSE) and its grading and assessment rules.",All institutions / all campuses,Should-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,School Management Type,"Classify each campus as Government, Aided, Private Unaided, Model School, Gurukul or KGBV for state reporting.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,District & Mandal Master,"Maintain state, district, mandal and village/ward codes used by every government return.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,Child Info Portal Sync,Map school and student records to the Telangana Child Info portal register and reconcile differences.,All institutions / all campuses,Must-Have,core
Super Admin,Platform Setup,Operations,Data Backup & Restore,Schedule automated cloud database backups and manage point-in-time recovery archives.,All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Operations,System Health & Integration Alerts,"Monitor failed Webhooks, payment gateway time-outs, SMS delivery failures, and API errors.",All institutions / all campuses,Must-Have,core
Super Admin,AI & Automation,AI & Automation,Predictive Dropout Risk Engine,"AI models analyzing attendance, grades, and fee delays to predict student churn risk.",All institutions / all campuses,Nice-to-Have,core
Super Admin,AI & Automation,AI & Automation,Automated Timetable Optimizer,"Genetic algorithms solving complex multi-variable faculty, room, and elective timetable constraints.",All institutions / all campuses,Nice-to-Have,core
Super Admin,AI & Automation,AI & Automation,AI Sentiment Analysis on Feedback,Natural Language Processing on parent complaints and reviews to gauge overall campus sentiment.,All institutions / all campuses,Nice-to-Have,core
Super Admin,AI & Automation,AI & Automation,Automated Exam Question Translation,AI translation engine converting English question banks into regional languages instantly.,All institutions / all campuses,Nice-to-Have,core
Super Admin,AI & Automation,AI & Automation,Smart Fee Cash Flow Predictor,Predictive modeling forecasting next quarter's fee collections based on historical payment patterns.,All institutions / all campuses,Nice-to-Have,core
Institution Admin / Principal,Home,Home,Dashboard,"The school on one page: the numbers at the top, what needs the principal today in the middle, and the day's events and cover at the foot.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Home,Getting Started,School setup,"Every step of setting the school up, in the order each one depends on the last: the year, classes, sections, subjects, the school day, staff, students, grading, fees and exams. Shows what is done, what is left, and what each remaining step unlocks.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Home,Approvals,Approvals,"Everything waiting on a signature — leave, attendance corrections, fee concessions — in one queue rather than one queue per module.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Students,Students,Student 360,"One child, whole: attendance, marks, fees, conduct and who to ring, on one page. The screen a school opens when a parent is at the desk.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Students,Students,Student photographs,"The photographer's folder attached to children in one go, matched by admission number. Photographs print on the ID card and on the report card.",Assigned institution/campus,Should-Have,core
Institution Admin / Principal,Students,Students,Certificates & transfers,"Transfer, bonafide, conduct and study certificates: issue one, and read the register of every certificate the school has issued with the snapshot it was issued from.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Students,Students,Class Promotion,"Moving a year group up at the end of the session, on the results. The old enrolment is closed rather than overwritten, so the child's history survives the promotion.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Students,Admissions,Admissions Pipeline,"Enquiries, applications and confirmed admissions for the coming session, and the conversion between them. Growth, and where it is being lost.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Master Timetable,"The whole school's week in one grid: which class is taught what, when, by whom and in which room, and which periods are still empty.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Substitutions,"Who is away today, which periods that leaves uncovered, and who has been put in front of each of them.",Assigned institution/campus,Should-Have,core
Institution Admin / Principal,Academics,Academics,School Calendar,"Terms, holidays, exams, sports day and parent meetings. The year the school works to, which the principal signs off before it starts.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Curriculum Roadmap,"The chapters each subject will cover, in order, with the hours and the term they are meant to land in. Approved once a year and taught from all of it.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Lesson Plans,"Plans teachers have submitted and nobody has read yet, so pacing is checked while the term can still be changed.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Syllabus Progress,"How much of each subject has actually been taught against how much was planned, which is the question asked in the month before an exam.",Assigned institution/campus,Should-Have,core
Institution Admin / Principal,Academics,Academics,Attendance Audit,"School-wide attendance and the corrections people have asked for: the class that has stopped turning up, and the register somebody wants changed after the fact.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Class Setup,"Every grade, its sections, their rooms and how the roll is spread across them. What the school has room for, before anybody is admitted into it.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Academics,Teacher Assignment,"Who teaches which subject in which section, for the whole school. Allocate a teacher, move one, or leave a subject unallocated — and push the result into the published timetable so the two agree.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Examinations,Performance overview,"Pass rate, subject performance, at-risk students and backlog summary.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Examinations,Hall Ticket Issue,Issue and reprint board hall tickets against the accepted nominal roll.,Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Academics,Examinations,Exams & results,"Exam schedule, marks entry status and result publication readiness.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Finance,Fees,Fee Dashboard,"Expected against collected against outstanding, for the school and by class. The one number a principal is asked for in a management meeting.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Communication,Communication,Grievances,"Complaints the class teacher and the coordinator could not settle, which reach the principal's desk because somewhere below it nobody could close them.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Communication,Communication,School Achievements Showcase,"Log awards, sports victories, academic honors, and publish them to parent/student portals.",Assigned institution/campus,Must-Have,optional
Institution Admin / Principal,Communication,Communication,Circulars,"A holiday, an exam datesheet, an emergency: written once and sent to the parents and staff it concerns, through the portal and through SMS and email.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Reports,Standard,Reports,"Core enrollment, attendance, academic, fee and staff reports.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Reports,Standard,Attendance Overview,"School-wide attendance for children and for staff, by class and by month, so mass absence and the child slipping towards dropping out are both visible before the attendance return is due.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Students,Students,Academic Performance,"Term results across the school: which subjects are weak, how a class has moved since last term, and one child's full mark history when a parent or the board asks. Filter by class, section or roll number.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Reports,Standard,Fee Collection,"Collected against expected, and what is outstanding by class and by term. The accountant works the counter; the principal answers for the cash flow.",Assigned institution/campus,Must-Have,core
Transport Manager,Transport,Transport,Vehicle Master Registry,"Maintain bus details, registration numbers, seating capacity, insurance expiry, and fitness certs.",Assigned campus,Should-Have,core
Transport Manager,Transport,Transport,Driver & Attendant Profiles,"Store driver licenses, police verification docs, phone numbers, and assigned bus routes.",Assigned campus,Should-Have,core
Transport Manager,Transport,Transport,Route & Pickup Stop Mapping,"Define bus routes, pick-up/drop-off stop locations, timings, and map associated transport fees.",Assigned campus,Must-Have,core
Transport Manager,Transport,Transport,Student Route Assignment,Assign students to specific bus routes and pick-up stops with automated fee mapping.,Assigned campus,Must-Have,core
Transport Manager,Transport,Transport,Route Distance Fee Slabs,Define transport fee slabs by route distance and auto-apply them to the student's fee structure.,Assigned campus,Must-Have,core
Transport Manager,Transport,Transport,Transport Attendance Scans,Scan student RFID tags as they step on and off the bus to confirm safe transit.,Assigned campus,Must-Have,core
Transport Manager,Transport,Transport,Real-time Vehicle Tracking (VTS),"View live GPS map of moving school buses, current speed, route adherence, and delay alerts.",Assigned campus,Should-Have,core
Transport Manager,Transport,Transport,Geo-fenced Bus Stop Alerts,Trigger automated proximity SMS/Push notifications to parents 5 minutes before bus arrives.,Assigned campus,Should-Have,advanced
Transport Manager,Transport,Transport,Bus Speeding & Rash Driving Alerts,Receive immediate dashboard alerts if a driver exceeds pre-set campus speed limits.,Assigned campus,Must-Have,advanced
Transport Manager,Transport,Transport,Vehicle Fuel & Maintenance Log,"Track fuel purchases, mileage performance, routine servicing, and repair expense logs.",Assigned campus,Should-Have,core
Transport Manager,Transport,Transport,Fuel Sensor & Mileage Telematics,Integrate digital fuel tank sensors to detect fuel theft and track real-time bus mileage.,Assigned campus,Should-Have,optional
Transport Manager,Transport,Transport,Driver Sobriety & Safety Checklist,Require drivers to complete pre-trip safety checklists and breathalyzer checks before starting.,Assigned campus,Should-Have,optional
Transport Manager,Transport,Transport,Bus Breakdown Emergency Dispatch,Trigger emergency notifications and dispatch replacement buses with auto-route updates.,Assigned campus,Should-Have,core
Transport Manager,Transport,Transport,Seatbelt & CCTV Video Streaming,Stream live in-bus CCTV video feeds to transport admin dashboards for safety monitoring.,Assigned campus,Must-Have,optional
Transport Manager,Transport,Transport,AIS-140 Telematics & VAHAN Compliance,"Register AIS-140 certified GPS units per vehicle, ingest NavIC position and panic-button events, monitor tamper and offline buffering, and evidence the VAHAN transmission MoRTH requires.",Assigned campus,Nice-to-Have,advanced
Transport Manager,Transport,Transport,Vehicles,"The vehicle register: registration, capacity, permit, insurance and fitness expiry.",Only assigned operational module/campus,Must-Have,core
Transport Manager,Transport,Transport,Drivers & attendants,"Who drives what, with licence expiry and background verification.",Only assigned operational module/campus,Must-Have,core
Transport Manager,Transport,Transport,Routes & stops,"Route definitions, the stops on each and the timing between them.",Only assigned operational module/campus,Must-Have,core
Transport Manager,Transport,Transport,Student allocation,"Which child boards at which stop on which route, and the fee slab that implies.",Only assigned operational module/campus,Must-Have,core
Transport Manager,Transport,Transport,Route attendance,"Boarding and alighting scans for each route, morning and afternoon.",Only assigned operational module/campus,Must-Have,core
Transport Manager,Transport,Transport,Delays & exceptions,"Routes running late, breakdowns and any child not scanned.",Only assigned operational module/campus,Must-Have,core
Transport Manager,Transport,Transport,Live vehicle tracking,"Where every bus is now, against the route it should be running.",Only assigned operational module/campus,Must-Have,core
Librarian,Library,Library,Book Cataloging & Accession Register,"Maintain master book register, ISBN numbers, author, publisher, genre, and rack location.",Assigned campus,Must-Have,core
Librarian,Library,Library,Barcode & Spine Label Printing,Generate and print custom barcode labels and spine call tags for library books.,Assigned campus,Should-Have,core
Librarian,Library,Library,Book Issue & Return Terminal,Scan student ID and book barcode to issue or return books in <5 seconds.,Assigned campus,Must-Have,core
Librarian,Library,Library,Book Reservation Queue,Auto-notify students when a reserved book is returned and available for collection.,Assigned campus,Must-Have,core
Librarian,Library,Library,Fine & Penalty Summary,"Fines collected and fines still outstanding, as totals. A principal does not work a fine out; they want to know what the library is owed.",Assigned campus,Must-Have,core
Librarian,Library,Library,OPAC Digital Book Search,Online Public Access Catalog for students to search book availability and reserve books.,Assigned campus,Must-Have,core
Librarian,Library,Library,Digital Library Usage,Whether the e-books and journals the school pays for are being opened: active readers and how engagement is moving month to month.,Assigned campus,Must-Have,core
Librarian,Library,Library,Annual Book Stock Verification,"The yearly count: what is on the shelves, what is missing, what is damaged, and the signature that closes the year's stock record.",Assigned campus,Must-Have,core
Librarian,Library,Library,New Session Textbook Orders,"Next year's textbook requirement, class by class against the roll, for the principal to approve before it is ordered.",Assigned campus,Must-Have,advanced
Librarian,Library,Library,Books & copies,"Titles, editions and the individual copies held against each.",Only assigned operational module/campus,Must-Have,core
Librarian,Library,Library,Accession register,"The statutory accession register, with barcode and spine label printing.",Only assigned operational module/campus,Must-Have,core
Librarian,Library,Library,Issue & return,"The counter: scan a card, scan a book, issue or take it back.",Only assigned operational module/campus,Must-Have,core
Librarian,Library,Library,Reservations,"Holds placed by students and staff, and who is next in the queue.",Only assigned operational module/campus,Must-Have,core
Librarian,Library,Library,Fines,"Overdue fines accrued, waived and collected.",Only assigned operational module/campus,Must-Have,core
Faculty / Teacher,Home,Home,Today's classes,"Next/current classes with one-click Take Attendance, Open Class and Add Homework actions.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Home,Home,My work,"Assignments to review, marks pending, substitutions, leave status and announcements.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Home,Home,My calendar,"The month you are actually in: exams, the duties you are rostered on, the homework you set falling due, and your own leave. Not your timetable, which you already know.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,My Classes,My classes,"Class roster, subject resources and relevant student academic information.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,My Classes,Student progress,View attendance and academic progress for students taught/mentored by the faculty member.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,My Classes,Behaviour,"Award a badge for what a child did well, or record a concern and what was done about it — one record per child, read in order, with whether the family was told.",Assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,My Classes,My students,"Every child in the class with attendance, marks and guardian contact in one place.",Assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,My Classes,Student details,"One child's full record: profile, guardians, attendance, marks and remarks.",Assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,Attendance,Take attendance,Fast daily or period/subject-wise attendance for assigned students.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,Attendance,Attendance correction,Request or process correction within permitted window/workflow.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Classes,Attendance,Offline Attendance & Diary Capture,"Mark attendance and write diary notes with no network, held on the device and synchronised automatically once a connection returns.",Assigned classes/subjects,Nice-to-Have,core
Faculty / Teacher,Teaching,Teaching,Homework / classwork,"Create homework/classwork with due date, attachments and instructions.",Self + assigned classes/subjects,Should-Have,core
Faculty / Teacher,Teaching,Teaching,Assignments & submissions,"Create assignments, review submissions, grade and add feedback.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Teaching,Teaching,Lesson plans / content,Plan lessons and attach learning resources when LMS/lesson planning is enabled.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Teaching,Teaching,LMS Study Material Upload,"Upload PDF notes, audio recordings, video links, and presentation slides per subject chapter.",Assigned classes/subjects,Should-Have,core
Faculty / Teacher,Teaching,Timetable,My timetable,"Daily/weekly teaching schedule, rooms/labs and substitutions.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Teaching,Timetable,Substitution Request Submission,Request advance leave and propose peer faculty substitution for approval.,Assigned classes/subjects,Should-Have,core
Faculty / Teacher,Assessments,Marks & Report Cards,Marks entry,Enter internal/exam marks for assigned subjects; validate before submission.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Assessments,Marks & Report Cards,Report cards,Generate and issue the report card for every child in the class.,Assigned classes/subjects,Must-Have,core
Faculty / Teacher,Assessments,Assessment Schemes,CCE Formative Assessment Entry,"Record FA1 to FA4 formative marks out of 20 covering written work, project, slip test and participation.",Assigned classes/subjects,Must-Have,advanced
Faculty / Teacher,Assessments,Assessment Schemes,CCE Summative Assessment Entry,Record SA1 to SA3 summative marks out of 80 as per the state board CCE scheme.,Assigned classes/subjects,Must-Have,advanced
Faculty / Teacher,Assessments,Question Papers & Online Tests,Question Bank Management,"Create objective/subjective question banks tagged by chapter, difficulty, and Bloom's level.",Assigned classes/subjects,Should-Have,advanced
Faculty / Teacher,Assessments,Question Papers & Online Tests,AI Examcell Paper Generator,"Auto-generate exam papers matching blueprint matrices, mark weightage, and difficulty ratios.",Assigned classes/subjects,Nice-to-Have,advanced
Faculty / Teacher,Assessments,Question Papers & Online Tests,Ved AI Assessment Assistant,"Use AI suggestions for creating creative rubric criteria, quiz questions, and essay prompts.",Assigned classes/subjects,Nice-to-Have,advanced
Faculty / Teacher,Assessments,Question Papers & Online Tests,Objective Online Test Creation,"Create auto-graded MCQ, True/False, and Fill-in-the-blank online tests with timers.",Assigned classes/subjects,Must-Have,advanced
Faculty / Teacher,Communication,Communication,Communication,"Announcements/messages to assigned classes, students or parents based on policy.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Communication,Communication,Remarks,Add permitted academic/class remarks and observations.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Communication,Communication,Anecdotal records,Private notes on how a child is growing — never shown to the parent.,Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Communication,Communication,Class teacher remarks,"The term-end line printed on the report card, and the principal’s summary beside it.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Communication,Communication,PTM notes & action items,"Who came to the parents’ meeting, what they raised, and what was agreed.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Communication,Communication,Classroom communication,"A notice to a whole class, or to one child’s parent.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,Communication,Communication,Messages,"One colleague at a time. The staff address book, and the thread you have with each of them.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Work,My Profile,Leave & self service,"Apply for leave, view approval status, attendance and personal documents.",Self + assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Work,My Profile,Profile,"Own profile, password and leave.",Assigned classes/subjects,Must-Have,core
Student,Home,Home,My day,"Next class, attendance %, assignments due, upcoming exam, fee due and latest announcement.",Self only,Must-Have,core
Student,Home,Home,Digital Diary & Schedule,"Track personal study schedules, project deadlines, and school calendar events.",Specific student,Must-Have,core
Student,Home,Home,Custom Theme Selection,"Customize student portal appearance with dark mode, high-contrast mode, or color themes.",Specific student,Must-Have,optional
Student,Academics,Timetable,Timetable,Daily/weekly class timetable and exam timetable.,Self only,Must-Have,core
Student,Academics,Attendance,Attendance,"Overall, subject-wise and date-wise attendance; leave/correction request if institution allows.",Self only,Must-Have,core
Student,Attendance,Attendance,Apply for leave,"Ask the school for time off: the days, the reason, and a medical certificate if there is one. Shows every application you have made and what the class teacher decided, and lets you withdraw one they have not answered yet.",Self only,Must-Have,core
Student,Academics,Homework,Homework & assignments,View due/overdue/submitted work; submit files/text where enabled.,Self only,Must-Have,core
Student,Academics,Homework,Classmate Homework Help Forum,Moderated discussion board where students can post homework questions and share study hints.,Specific student,Must-Have,optional
Student,Academics,Learning,Courses / subjects,"Current enrolled courses/subjects, teacher and learning resources.",Self only,Must-Have,core
Student,Academics,Learning,E-Learning Resource Hub,"Access teacher-uploaded video lectures, PDF notes, chapter slides, and reference links.",Specific student,Must-Have,core
Student,Academics,Learning,AI Personal Learning Companion,"24/7 AI tutor answering student doubts, explaining math problems step-by-step, and generating practice quizzes.",Specific student,Nice-to-Have,core
Student,Academics,Learning,Peer Tutoring & Study Groups,Sign up as student tutors or request peer study group assistance in specific subjects.,Specific student,Must-Have,optional
Student,Academics,Learning,Gamified Learning Streak Counter,Visual daily login and homework completion streak counter rewarding students with digital badges.,Specific student,Nice-to-Have,optional
Student,Academics,Learning,Gamified Learning Badge Showcase,"Display earned academic, behavioral, and extracurricular digital badges on public student profile.",Specific student,Nice-to-Have,optional
Student,Academics,Learning,Virtual Classroom Hand-Raise Telemetry,Log student digital hand-raises during live virtual classes to measure real-time engagement.,Specific student,Must-Have,optional
Student,Academics,Learning,Global University Guidance Counselor,"Track college application deadlines, essay drafts, and request teacher Letters of Recommendation (LOR).",Specific student,Nice-to-Have,optional
Student,Academics,Learning,Student Portfolio Management,"Maintain personal showcase portfolio containing certificates, creative projects, and sports records.",Specific student,Must-Have,advanced
Student,Academics,Exams & Results,Exams & grades,"Exam schedule, marks, grades, published results and report cards.",Self only,Must-Have,core
Student,Academics,Exams & Results,Academic record,"Current/previous grades, transcript/academic history when published.",Self only,Must-Have,core
Student,Fees,Fees,Fees,"Current dues, fee history, payment status, online payment and receipts.",Self only,Must-Have,core
Student,School,Notices & Calendar,Calendar,"Academic calendar, holidays, events and deadlines.",Self only,Must-Have,core
Student,School,Notices & Calendar,Library Book Hold Request,Reserve available library books online for pickup at the start of the next school day.,Specific student,Must-Have,core
Student,School,Campus Life,Student Wall & Peer Recognition,"View school news, student council announcements, badge achievements, and art features.",Specific student,Must-Have,optional
Student,School,Campus Life,Digital Hall of Fame,"Showcase historic trophies, school record holders, and national rankers across academic/sports.",Specific student,Must-Have,optional
Student,School,Campus Life,Student Club Event Ticketing & QR Check-In,"Register for campus drama, music, or science events and generate QR-coded admission tickets.",Specific student,Must-Have,optional
Student,School,Campus Life,Lost & Found Item Board,Post missing items or report found items with photos on the digital lost-and-found board.,Specific student,Must-Have,optional
Student,School,Campus Life,Lost & Found Photo Board with Claim Verification,View photos of lost items found on campus and submit digital claim proof to reclaim items.,Specific student,Must-Have,optional
Student,School,Campus Life,Digital Locker Combination & Access Log,Manage assigned physical hallway locker numbers and view digital access keycode history.,Specific student,Must-Have,optional
Student,School,Alumni,Alumni Network Registration,Register for the official school alumni network upon passing out to stay connected with batchmates.,Specific student,Nice-to-Have,optional
Student,School,Alumni,Alumni Job & Internship Board,Senior students access exclusive internship and entry-level job posts shared by alumni network.,Specific student,Nice-to-Have,optional
Student,Requests,Requests,Requests,"Ask the office for a document — bonafide, transfer certificate, conduct certificate, a duplicate ID card — and follow each request until the signed copy is ready to download. Leave is asked for separately, where the days can be given.",Self only,Must-Have,core
Student,Profile,Profile,My ID card,"Your own school identity card: photo, name, admission number, class and the emergency contact, with the QR a gate reader scans. Tapping it on an NFC reader needs the school to have one; the card itself is here either way.",Specific student,Must-Have,optional
Parent / Guardian,Home,Home,Dashboard,"Your child's day on one page: attendance, fees, homework and what the school has said — with anything waiting on you at the top. Switch children from the same page if you have more than one.",Linked child/children only,Must-Have,core
Parent / Guardian,My Child,Attendance,Attendance,Daily/monthly attendance and absence history for the selected child.,Linked child/children only,Must-Have,core
Parent / Guardian,My Child,Attendance,Child Absence Reporting Button,Notify class teacher in advance of child's planned absence with 1-click reason selection.,Specific student,Must-Have,core
Parent / Guardian,My Child,Academics,Homework & academics,"Homework, classwork, subjects and published academic progress.",Linked child/children only,Should-Have,core
Parent / Guardian,My Child,Academics,Results & report cards,"Exam schedule, marks/grades and downloadable published report cards.",Linked child/children only,Must-Have,core
Parent / Guardian,My Child,Academics,AI Child Performance Summary Audio,Generate a weekly 60-second audio podcast summarizing the child's academic and behavioral week.,Specific student,Nice-to-Have,optional
Parent / Guardian,My Child,Academics,IEP Progress Goal Tracker,View real-time progress bars towards child's specific IEP milestones and therapy goals.,Specific student,Should-Have,advanced
