flow,chain,step,role,role_key,feature,feature_key,workspace,built
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,3,Management,super_admin,Email Server (SMTP) Integration,super_admin.messaging.email_server_smtp_integration,messaging,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,4,Management,super_admin,Automated Trigger Rules,super_admin.messaging.automated_trigger_rules,messaging,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,5,Management,super_admin,Payment Gateway Connectors,super_admin.payments_devices.payment_gateway_connectors,payments_devices,no
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,6,Management,super_admin,Biometric Device Integration,super_admin.payments_devices.biometric_device_integration,payments_devices,no
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,7,Management,super_admin,GPS Hardware Integration,super_admin.payments_devices.gps_hardware_integration,payments_devices,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,8,Management,super_admin,Virtual Classroom Integration,super_admin.payments_devices.virtual_classroom_integration,payments_devices,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,9,Management,super_admin,Tally ERP / Prime Connector,super_admin.payments_devices.tally_erp_prime_connector,payments_devices,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,10,Management,super_admin,Meritto / LeadSquared Sync,super_admin.payments_devices.meritto_leadsquared_sync,payments_devices,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,11,Management,super_admin,AI Sentiment Analysis on Feedback,super_admin.ai_automation.ai_sentiment_analysis_on_feedback,ai_automation,no
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,12,Management,super_admin,Smart Fee Cash Flow Predictor,super_admin.ai_automation.smart_fee_cash_flow_predictor,ai_automation,no
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,13,Principal,institution_admin,Fee Dashboard,institution_admin.fees.fee_dashboard,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,14,Principal,institution_admin,Fee Default,institution_admin.fees.fee_default,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,15,Principal,institution_admin,Fee Collection,institution_admin.standard.fee_collection,standard,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,16,Transport Manager,transport_manager,Route Distance Fee Slabs,transport_manager.transport.route_distance_fee_slabs,transport,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,17,Fee Counter,finance,Take fee payment,finance.fees.take_fee_payment,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,18,Fee Counter,finance,Online fee portal,finance.fees.online_fee_portal,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,19,Fee Counter,finance,Unpaid fees & reminders,finance.fees.unpaid_fees_reminders,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,20,Fee Counter,finance,Class & transport fee setup,finance.fees.class_transport_fee_setup,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,21,Front Office,admissions,Admission Fee Collection,admissions.admissions.admission_fee_collection,admissions,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,22,Student,student,Fees,student.fees.fees,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,23,Parent,parent,Fees & payments,parent.fees.fees_payments,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,24,Parent,parent,Digital Fee Receipt PDF Download,parent.fees.digital_fee_receipt_pdf_download,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,25,Parent,parent,Child Daily Cafeteria Purchase Timeline,parent.fees.child_daily_cafeteria_purchase_timeline,fees,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,26,Parent,parent,Real-time School Bus Live Video Feed Access,parent.alerts_preferences.real_time_school_bus_live_video_feed_access,alerts_preferences,no
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,27,Parent,parent,Direct Teacher Messaging,parent.messages.direct_teacher_messaging,messages,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,1,Management,super_admin,Global Attendance Heatmap,super_admin.dashboard.global_attendance_heatmap,dashboard,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,2,Management,super_admin,Biometric Device Integration,super_admin.payments_devices.biometric_device_integration,payments_devices,no
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,3,Principal,institution_admin,Attendance Audit,institution_admin.academics.attendance_audit,academics,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,4,Principal,institution_admin,Attendance Overview,institution_admin.standard.attendance_overview,standard,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,5,HOD,hod,Take attendance,hod.attendance.take_attendance,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,6,Teacher,faculty,Take attendance,faculty.attendance.take_attendance,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,7,Teacher,faculty,Attendance correction,faculty.attendance.attendance_correction,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,8,Teacher,faculty,Offline Attendance & Diary Capture,faculty.attendance.offline_attendance_diary_capture,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,9,Transport Manager,transport_manager,Transport Attendance Scans,transport_manager.transport.transport_attendance_scans,transport,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,10,Transport Manager,transport_manager,Route attendance,transport_manager.transport.route_attendance,transport,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,11,Office Clerk,hr,Staff register,hr.attendance.staff_register,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,12,Office Clerk,hr,Biometric Machine Attendance Sync,hr.attendance.biometric_machine_attendance_sync,attendance,no
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,13,Office Clerk,hr,Biometric Punch In/Out Grace Period,hr.attendance.biometric_punch_in_out_grace_period,attendance,no
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,14,Office Clerk,hr,Staff duty roster,hr.attendance.staff_duty_roster,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,15,Student,student,Attendance,student.attendance.attendance,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,16,Parent,parent,Attendance,parent.attendance.attendance,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,17,Parent,parent,Child Absence Reporting Button,parent.attendance.child_absence_reporting_button,attendance,yes
Attendance,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Office Clerk -> Student -> Parent,18,Parent,parent,Parent App Biometric Lock (Face ID / Fingerprint),parent.profile.parent_app_biometric_lock_face_id_fingerprint,profile,no
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,1,Management,super_admin,Automated Exam Question Translation,super_admin.ai_automation.automated_exam_question_translation,ai_automation,no
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,2,Principal,institution_admin,Performance overview,institution_admin.examinations.performance_overview,examinations,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,3,Principal,institution_admin,Hall Ticket Issue,institution_admin.examinations.hall_ticket_issue,examinations,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,4,Principal,institution_admin,Exams & results,institution_admin.examinations.exams_results,examinations,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,5,Principal,institution_admin,Exams & papers,institution_admin.examinations.exams_papers,examinations,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,6,Principal,institution_admin,Question paper approval,institution_admin.exams.question_paper_approval,exams,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,7,Principal,institution_admin,Mark moderation,institution_admin.exams.mark_moderation,exams,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,8,HOD,hod,Teacher remarks,hod.staff.teacher_remarks,staff,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,9,HOD,hod,Marks entry,hod.marks_report_cards.marks_entry,marks_report_cards,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,10,HOD,hod,Report cards,hod.marks_report_cards.report_cards,marks_report_cards,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,11,HOD,hod,Question paper approval,hod.exams.question_paper_approval,exams,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,12,HOD,hod,Mark moderation,hod.exams.mark_moderation,exams,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,13,Teacher,faculty,Marks entry,faculty.marks_report_cards.marks_entry,marks_report_cards,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,14,Teacher,faculty,Report cards,faculty.marks_report_cards.report_cards,marks_report_cards,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,15,Teacher,faculty,Question Bank Management,faculty.question_papers_online_tests.question_bank_management,question_papers_online_tests,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,16,Teacher,faculty,AI Examcell Paper Generator,faculty.question_papers_online_tests.ai_examcell_paper_generator,question_papers_online_tests,no
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,17,Teacher,faculty,Ved AI Assessment Assistant,faculty.question_papers_online_tests.ved_ai_assessment_assistant,question_papers_online_tests,no
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,18,Teacher,faculty,Objective Online Test Creation,faculty.question_papers_online_tests.objective_online_test_creation,question_papers_online_tests,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,19,Teacher,faculty,Remarks,faculty.communication.remarks,communication,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,20,Teacher,faculty,Remarks about me,faculty.my_profile.remarks_about_me,my_profile,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,21,Teacher,faculty,Question papers,faculty.exams.question_papers,exams,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,22,Front Office,admissions,Entrance Exam Scheduling,admissions.applications.entrance_exam_scheduling,applications,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,23,Student,student,Exams & grades,student.exams_results.exams_grades,exams_results,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,24,Student,student,Academic record,student.exams_results.academic_record,exams_results,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,25,Parent,parent,Results & report cards,parent.academics.results_report_cards,academics,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,26,Parent,parent,Child remarks,parent.academics.child_remarks,academics,yes
Exams & results,Management -> Principal -> HOD -> Teacher -> Front Office -> Student -> Parent,27,Parent,parent,Teacher remarks,parent.messages.teacher_remarks,messages,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,1,Software Vendor,seller_admin,Onboarding Progress,seller_admin.customers.onboarding_progress,customers,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,2,Management,super_admin,Campus cards,super_admin.dashboard.campus_cards,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,3,Management,super_admin,All campuses summary,super_admin.dashboard.all_campuses_summary,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,4,Management,super_admin,Alerts,super_admin.dashboard.alerts,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,5,Management,super_admin,Multi-Branch Revenue Analytics,super_admin.dashboard.multi_branch_revenue_analytics,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,6,Management,super_admin,Central Admission Funnel KPI,super_admin.dashboard.central_admission_funnel_kpi,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,7,Management,super_admin,Global Attendance Heatmap,super_admin.dashboard.global_attendance_heatmap,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,8,Management,super_admin,Executive System Alerts,super_admin.dashboard.executive_system_alerts,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,9,Management,super_admin,System health,super_admin.dashboard.system_health,dashboard,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,10,Management,super_admin,SQAA Framework Management,super_admin.statutory_boards.sqaa_framework_management,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,11,Management,super_admin,UDISE+ Data Sync,super_admin.statutory_boards.udise_data_sync,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,12,Management,super_admin,APAAR ID Provisioning,super_admin.statutory_boards.apaar_id_provisioning,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,13,Management,super_admin,DigiLocker Issuer Integration,super_admin.statutory_boards.digilocker_issuer_integration,statutory_boards,no
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,14,Management,super_admin,Board Affiliation & Disclosure,super_admin.statutory_boards.board_affiliation_disclosure,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,15,Management,super_admin,State Board Configuration,super_admin.statutory_boards.state_board_configuration,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,16,Management,super_admin,School Management Type,super_admin.statutory_boards.school_management_type,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,17,Management,super_admin,District & Mandal Master,super_admin.statutory_boards.district_mandal_master,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,18,Management,super_admin,Child Info Portal Sync,super_admin.statutory_boards.child_info_portal_sync,statutory_boards,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,19,Principal,institution_admin,Dashboard,institution_admin.home.dashboard,home,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,20,Principal,institution_admin,Fee Dashboard,institution_admin.fees.fee_dashboard,fees,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,21,Transport Manager,transport_manager,AIS-140 Telematics & VAHAN Compliance,transport_manager.transport.ais_140_telematics_vahan_compliance,transport,no
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,22,Fee Counter,finance,Dashboard,finance.home.dashboard,home,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,23,Front Office,admissions,Aadhaar & APAAR Capture at Admission,admissions.admissions.aadhaar_apaar_capture_at_admission,admissions,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,24,Office Clerk,hr,Dashboard,hr.home.dashboard,home,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,25,Office Clerk,hr,Staff joinings & exits,hr.onboarding_exit.staff_joinings_exits,onboarding_exit,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,26,Office Clerk,hr,Taxes & statutory,hr.payroll.taxes_statutory,payroll,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,27,Student,student,Lost & Found Item Board,student.campus_life.lost_found_item_board,campus_life,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,28,Student,student,Lost & Found Photo Board with Claim Verification,student.campus_life.lost_found_photo_board_with_claim_verification,campus_life,yes
Board exams & statutory,Software Vendor -> Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Office Clerk -> Student,29,Student,student,Alumni Job & Internship Board,student.alumni.alumni_job_internship_board,alumni,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,1,Management,super_admin,Automated Timetable Optimizer,super_admin.ai_automation.automated_timetable_optimizer,ai_automation,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,2,Principal,institution_admin,Master Timetable,institution_admin.academics.master_timetable,academics,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,3,Principal,institution_admin,Substitutions,institution_admin.academics.substitutions,academics,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,4,HOD,hod,Class timetable,hod.timetable.class_timetable,timetable,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,5,HOD,hod,Staff timetable,hod.timetable.staff_timetable,timetable,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,6,HOD,hod,Department timetable,hod.timetable.department_timetable,timetable,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,7,HOD,hod,Substitution requests,hod.timetable.substitution_requests,timetable,yes
Timetable,Management -> Principal -> HOD -> Teacher -> Transport Manager -> Front Office -> Office Clerk -> Student,8,HOD,hod,My timetable,hod.timetable.my_timetable,timetable,yes
